Range (in 1000 yen),Frequency
0--49,2013
50--99,1821
100--149,1390
150--199,1052
200--249,812
250--299,627
300--349,514
350--399,388
400--449,307
450--499,223
500--549,192
550--599,138
600--649,114
650--699,82
700--749,75
750--799,56
800--849,40
850--899,37
900--949,18
950--999,25
1000--1049,21
1050--1099,8
1100--1149,20
1150--1199,4
1200--1249,7
1250--1299,3
1300--1349,3
1350--1399,2
1400--1449,1
1450--1499,3
1500--1549,0
1550--1599,0
1600--1649,1
1650--1699,1
1700--1749,1
1750--1799,0
1800--1849,0
1850--1899,0
1900--1949,0
1950--1999,1
2000--,0
